ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,CUSTOMERNAME,COUNTRY,DEALSIZE
505,49,43.13,2113.37,7/16/2003 0:00,Shipped,Vintage Cars,Souveniers And Things Co.,Australia,Small
506,30,58.22,1746.6,9/12/2003 0:00,Shipped,Vintage Cars,Signal Collectibles Ltd.,USA,Small
507,45,51.21,2304.45,10/18/2003 0:00,Shipped,Vintage Cars,Corporate Gift Ideas Co.,USA,Small
508,48,44.21,2122.08,11/5/2003 0:00,Shipped,Vintage Cars,Rovelli Gifts,Italy,Small
509,32,54.45,1742.4,11/12/2003 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Small
510,46,53.37,2455.02,11/21/2003 0:00,Shipped,Vintage Cars,"Australian Collectables, Ltd",Australia,Small
511,48,63.61,3053.28,12/3/2003 0:00,Shipped,Vintage Cars,Euro Shopping Channel,Spain,Medium
512,33,43.13,1423.29,1/29/2004 0:00,Shipped,Vintage Cars,West Coast Collectables Co.,USA,Small
513,31,48.52,1504.12,3/2/2004 0:00,Shipped,Vintage Cars,"Saveley & Henriot, Co.",France,Small
514,20,58.22,1164.4,4/29/2004 0:00,Shipped,Vintage Cars,Euro Shopping Channel,Spain,Small
515,29,51.75,1500.75,6/8/2004 0:00,Shipped,Vintage Cars,Danish Wholesale Imports,Denmark,Small
516,27,57.68,1557.36,8/17/2004 0:00,Shipped,Vintage Cars,Amica Models & Co.,Italy,Small
517,24,56.07,1345.68,9/3/2004 0:00,Shipped,Vintage Cars,Herkku Gifts,Norway,Small
518,37,48.52,1795.24,10/11/2004 0:00,Shipped,Vintage Cars,Auto Assoc. & Cie.,France,Small
519,25,44.21,1105.25,10/21/2004 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Small
520,41,57.68,2364.88,11/4/2004 0:00,Shipped,Vintage Cars,Online Diecast Creations Co.,USA,Small
521,27,89.89,2427.03,11/17/2004 0:00,Shipped,Vintage Cars,"AV Stores, Co.",UK,Small
522,21,58.95,1237.95,11/29/2004 0:00,Shipped,Vintage Cars,"Australian Collectors, Co.",Australia,Small
523,22,72.41,1593.02,12/9/2004 0:00,Shipped,Vintage Cars,Lyon Souveniers,France,Small
524,32,98.63,3156.16,1/20/2005 0:00,Shipped,Vintage Cars,Collectables For Less Inc.,USA,Medium
525,25,52.83,1320.75,2/17/2005 0:00,Shipped,Vintage Cars,Corporate Gift Ideas Co.,USA,Small
526,42,100,4998,3/9/2005 0:00,Shipped,Vintage Cars,"Anna's Decorations, Ltd",Australia,Medium
527,25,51.75,1293.75,5/30/2005 0:00,In Process,Vintage Cars,Diecast Classics Inc.,USA,Small
528,37,100,5433.08,3/18/2003 0:00,Shipped,Classic Cars,"AV Stores, Co.",UK,Medium
529,26,100,3073.72,5/20/2003 0:00,Shipped,Classic Cars,Atelier graphique,France,Medium
530,44,99.55,4380.2,7/10/2003 0:00,Shipped,Classic Cars,Reims Collectables,France,Medium
531,47,100,5848.68,9/11/2003 0:00,Shipped,Classic Cars,"Anna's Decorations, Ltd",Australia,Medium
532,43,100,6153.73,10/17/2003 0:00,Shipped,Classic Cars,Heintze Collectables,Denmark,Medium
533,42,100,4965.24,11/5/2003 0:00,Shipped,Classic Cars,Gift Depot Inc.,USA,Medium
534,42,100,5435.64,11/12/2003 0:00,Shipped,Classic Cars,Herkku Gifts,Norway,Medium
535,29,100,4258.36,11/20/2003 0:00,Shipped,Classic Cars,Online Diecast Creations Co.,USA,Medium
536,40,100,4032,12/2/2003 0:00,Shipped,Classic Cars,Muscle Machine Inc,USA,Medium
537,38,100,4492.36,1/16/2004 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
538,38,100,4161.38,2/26/2004 0:00,Shipped,Classic Cars,Collectable Mini Designs Co.,USA,Medium
539,21,100,2508.66,4/13/2004 0:00,Shipped,Classic Cars,Mini Caravy,France,Small
540,24,100,3374.88,6/1/2004 0:00,Cancelled,Classic Cars,"UK Collectables, Ltd.",UK,Medium
541,36,100,5196.6,7/6/2004 0:00,Shipped,Classic Cars,L'ordine Souveniers,Italy,Medium
542,23,100,2604.52,8/6/2004 0:00,Shipped,Classic Cars,Signal Gift Stores,USA,Small
543,20,100,2936.8,9/1/2004 0:00,Shipped,Classic Cars,Handji Gifts& Co,Singapore,Small
544,32,100,3424.64,10/5/2003 0:00,Shipped,Classic Cars,"Norway Gifts By Mail, Co.",Norway,Medium
545,29,100,2923.2,10/16/2004 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Small
546,44,100,4489.76,11/4/2004 0:00,Shipped,Classic Cars,FunGiftIdeas.com,USA,Medium
547,44,100,4849.24,11/17/2004 0:00,Shipped,Classic Cars,Motor Mint Distributors Inc.,USA,Medium
548,36,100,5848.92,11/24/2004 0:00,Shipped,Classic Cars,Reims Collectables,France,Medium
549,49,56.3,2758.7,1/12/2005 0:00,Resolved,Classic Cars,Toys4GrownUps.com,USA,Small
550,34,42.64,1449.76,2/10/2005 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Small
551,59,100,7048.14,4/22/2005 0:00,On Hold,Classic Cars,The Sharp Gifts Warehouse,USA,Large
552,37,100,5202.94,5/17/2005 0:00,Shipped,Classic Cars,Salzburg Collectables,Austria,Medium
553,36,100,5279.4,2/17/2003 0:00,Shipped,Planes,Rovelli Gifts,Italy,Medium
554,43,100,6916.12,4/28/2003 0:00,Shipped,Planes,Salzburg Collectables,Austria,Medium
555,21,100,2781.66,6/16/2003 0:00,Shipped,Planes,Gift Ideas Corp.,USA,Small
556,32,100,5248,8/10/2003 0:00,Shipped,Planes,Mini Creations Ltd.,USA,Medium
557,38,100,6531.44,10/6/2003 0:00,Shipped,Planes,"Toys of Finland, Co.",Finland,Medium
558,43,100,5763.72,10/23/2003 0:00,Cancelled,Planes,Scandinavian Gift Ideas,Sweden,Medium
559,42,100,6490.68,11/8/2003 0:00,Shipped,Planes,Alpha Cognac,France,Medium
560,32,100,6004.8,11/14/2003 0:00,Shipped,Planes,"Double Decker Gift Stores, Ltd",UK,Medium
561,42,100,7483.98,11/27/2003 0:00,Shipped,Planes,Cruz & Sons Co.,Philippines,Large
562,31,100,5719.5,1/12/2004 0:00,Shipped,Planes,Osaka Souveniers Co.,Japan,Medium
563,49,100,6954.08,2/19/2004 0:00,Shipped,Planes,Collectable Mini Designs Co.,USA,Medium
564,45,100,8160.3,5/11/2004 0:00,Shipped,Planes,The Sharp Gifts Warehouse,USA,Large
565,49,100,6567.96,6/24/2004 0:00,Cancelled,Planes,Euro Shopping Channel,Spain,Medium
566,41,100,6724,7/21/2004 0:00,Shipped,Planes,Collectables For Less Inc.,USA,Medium
567,45,100,5747.85,8/21/2004 0:00,Shipped,Planes,"Norway Gifts By Mail, Co.",Norway,Medium
568,36,100,5676.84,9/15/2004 0:00,Shipped,Planes,"Bavarian Collectables Imports, Co.",Germany,Medium
569,39,100,7379.97,10/14/2004 0:00,Shipped,Planes,"Classic Gift Ideas, Inc",USA,Large
570,27,100,3704.13,11/1/2004 0:00,Shipped,Planes,giftsbymail.co.uk,UK,Medium
571,25,100,2804.75,11/10/2004 0:00,Resolved,Planes,Danish Wholesale Imports,Denmark,Small
572,41,100,5624.79,11/22/2004 0:00,Shipped,Planes,Royale Belge,Belgium,Medium
573,39,99.52,3881.28,12/3/2004 0:00,Shipped,Planes,"Stylish Desk Decors, Co.",UK,Medium
574,28,57.55,1611.4,1/31/2005 0:00,Shipped,Planes,"Oulu Toy Supplies, Inc.",Finland,Small
575,25,54.57,1364.25,3/1/2005 0:00,Resolved,Planes,Euro Shopping Channel,Spain,Small
576,33,100,4215.09,3/30/2005 0:00,Shipped,Planes,Reims Collectables,France,Medium
577,34,100,6433.82,4/1/2005 0:00,Shipped,Planes,The Sharp Gifts Warehouse,USA,Medium
578,24,100,4352.16,5/10/2005 0:00,Shipped,Planes,L'ordine Souveniers,Italy,Medium
579,30,100,5151,1/6/2003 0:00,Shipped,Vintage Cars,Online Diecast Creations Co.,USA,Medium
580,42,100,6069,3/18/2003 0:00,Shipped,Vintage Cars,"AV Stores, Co.",UK,Medium
581,21,100,2856,5/21/2003 0:00,Shipped,Vintage Cars,Signal Gift Stores,USA,Small
582,34,100,5375.4,9/12/2003 0:00,Shipped,Vintage Cars,Signal Collectibles Ltd.,USA,Medium
583,29,100,5176.5,10/18/2003 0:00,Shipped,Vintage Cars,Corporate Gift Ideas Co.,USA,Medium
584,24,100,3508.8,11/5/2003 0:00,Shipped,Vintage Cars,Rovelli Gifts,Italy,Medium
585,44,100,7554.8,11/12/2003 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Large
586,21,100,3141.6,11/21/2003 0:00,Shipped,Vintage Cars,"Australian Collectables, Ltd",Australia,Medium
587,33,100,5890.5,12/2/2003 0:00,Shipped,Vintage Cars,Muscle Machine Inc,USA,Medium
588,30,100,5967,1/26/2004 0:00,Shipped,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,Medium
589,26,100,3712.8,3/2/2004 0:00,Shipped,Vintage Cars,"Saveley & Henriot, Co.",France,Medium
590,41,100,7597.3,4/13/2004 0:00,Shipped,Vintage Cars,Mini Caravy,France,Large
591,26,100,3668.6,8/17/2004 0:00,Shipped,Vintage Cars,Amica Models & Co.,Italy,Medium
592,32,100,5875.2,9/1/2004 0:00,Shipped,Vintage Cars,Handji Gifts& Co,Singapore,Medium
593,43,100,7310,10/6/2003 0:00,Shipped,Vintage Cars,"UK Collectables, Ltd.",UK,Large
594,48,100,8078.4,10/21/2004 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Large
595,44,74.04,3257.76,11/17/2004 0:00,Shipped,Vintage Cars,Motor Mint Distributors Inc.,USA,Medium
596,45,100,7650,11/25/2004 0:00,Shipped,Vintage Cars,Marseille Mini Autos,France,Large
597,37,100,4703.81,1/12/2005 0:00,Resolved,Vintage Cars,Toys4GrownUps.com,USA,Medium
598,39,100,5399.55,2/10/2005 0:00,Shipped,Vintage Cars,Euro Shopping Channel,Spain,Medium
599,76,100,14082.8,4/22/2005 0:00,On Hold,Vintage Cars,The Sharp Gifts Warehouse,USA,Large
600,37,100,5283.6,5/29/2005 0:00,In Process,Vintage Cars,Souveniers And Things Co.,Australia,Medium
601,38,82.39,3130.82,3/3/2003 0:00,Shipped,Classic Cars,Cruz & Sons Co.,Philippines,Medium
602,43,72.38,3112.34,5/8/2003 0:00,Shipped,Classic Cars,Marseille Mini Autos,France,Medium
603,48,79.31,3806.88,7/2/2003 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Medium
604,26,82.39,2142.14,9/5/2003 0:00,Shipped,Classic Cars,Collectables For Less Inc.,USA,Small
605,38,88.55,3364.9,10/11/2003 0:00,Shipped,Classic Cars,"Men 'R' US Retailers, Ltd.",USA,Medium
606,20,63.14,1262.8,11/4/2003 0:00,Shipped,Classic Cars,Mini Auto Werke,Austria,Small
607,22,73.92,1626.24,11/12/2003 0:00,Shipped,Classic Cars,Herkku Gifts,Norway,Small
608,45,90.86,4088.7,11/20/2003 0:00,Shipped,Classic Cars,Online Diecast Creations Co.,USA,Medium
609,45,85.47,3846.15,12/2/2003 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
610,20,66.99,1339.8,1/16/2004 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Small
611,47,64.68,3039.96,2/22/2004 0:00,Shipped,Classic Cars,"Vida Sport, Ltd",Switzerland,Medium
612,46,73.92,3400.32,4/12/2004 0:00,Shipped,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,Medium
613,23,83.93,1930.39,6/1/2004 0:00,Cancelled,Classic Cars,"UK Collectables, Ltd.",UK,Small
614,33,74.69,2464.77,7/6/2004 0:00,Shipped,Classic Cars,L'ordine Souveniers,Italy,Small
615,29,90.86,2634.94,8/6/2004 0:00,Shipped,Classic Cars,Signal Gift Stores,USA,Small
616,44,82.39,3625.16,8/30/2004 0:00,Shipped,Classic Cars,"Vida Sport, Ltd",Switzerland,Medium
617,41,92.4,3788.4,10/4/2003 0:00,Shipped,Classic Cars,"Blauer See Auto, Co.",Germany,Medium
618,20,91.63,1832.6,10/16/2004 0:00,Shipped,Classic Cars,"Toms Spezialitten, Ltd",Germany,Small
619,37,78.54,2905.98,11/4/2004 0:00,Shipped,Classic Cars,FunGiftIdeas.com,USA,Small
620,29,100,2954.81,11/15/2004 0:00,Shipped,Classic Cars,Land of Toys Inc.,USA,Small
621,55,65.45,3599.75,11/24/2004 0:00,Shipped,Classic Cars,"Australian Collectors, Co.",Australia,Medium
622,22,100,3686.54,1/6/2005 0:00,Shipped,Classic Cars,Suominen Souveniers,Finland,Medium
623,31,67.76,2100.56,2/9/2005 0:00,Shipped,Classic Cars,"Toys of Finland, Co.",Finland,Small
624,49,79.22,3881.78,3/3/2005 0:00,Shipped,Classic Cars,Scandinavian Gift Ideas,Sweden,Medium
625,61,73.92,4509.12,4/14/2005 0:00,Shipped,Classic Cars,Mini Caravy,France,Medium
626,39,83.93,3273.27,5/17/2005 0:00,Shipped,Classic Cars,Salzburg Collectables,Austria,Medium
627,38,100,4432.7,3/10/2003 0:00,Shipped,Classic Cars,Motor Mint Distributors Inc.,USA,Medium
628,31,100,4100.99,5/8/2003 0:00,Shipped,Classic Cars,Marseille Mini Autos,France,Medium
629,36,100,5274.72,7/4/2003 0:00,Shipped,Classic Cars,Alpha Cognac,France,Medium
630,25,100,4232,9/11/2003 0:00,Shipped,Classic Cars,"Anna's Decorations, Ltd",Australia,Medium
631,48,100,6145.44,10/17/2003 0:00,Shipped,Classic Cars,Heintze Collectables,Denmark,Medium
632,35,100,4680.2,11/5/2003 0:00,Shipped,Classic Cars,Quebec Home Shopping Network,Canada,Medium
633,21,100,3286.08,11/12/2003 0:00,Shipped,Classic Cars,Herkku Gifts,Norway,Medium
634,47,100,7421.3,11/20/2003 0:00,Shipped,Classic Cars,Online Diecast Creations Co.,USA,Large
635,38,100,6432.64,12/2/2003 0:00,Shipped,Classic Cars,Muscle Machine Inc,USA,Medium
636,41,100,4840.87,1/16/2004 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
637,24,100,3892.08,2/26/2004 0:00,Shipped,Classic Cars,Collectable Mini Designs Co.,USA,Medium
638,37,100,5526.32,4/13/2004 0:00,Shipped,Classic Cars,Osaka Souveniers Co.,Japan,Medium
639,33,100,4459.62,6/1/2004 0:00,Cancelled,Classic Cars,"UK Collectables, Ltd.",UK,Medium
640,49,100,6203.4,7/6/2004 0:00,Shipped,Classic Cars,L'ordine Souveniers,Italy,Medium
641,29,100,3754.05,8/6/2004 0:00,Shipped,Classic Cars,Signal Gift Stores,USA,Medium
642,24,100,3516.48,8/30/2004 0:00,Shipped,Classic Cars,"Vida Sport, Ltd",Switzerland,Medium
643,47,100,7488.04,10/5/2003 0:00,Shipped,Classic Cars,"Norway Gifts By Mail, Co.",Norway,Large
644,24,100,3448.08,10/16/2004 0:00,Shipped,Classic Cars,"Toms Spezialitten, Ltd",Germany,Medium
645,25,100,3734,11/4/2004 0:00,Shipped,Classic Cars,FunGiftIdeas.com,USA,Medium
646,30,32.47,974.1,11/17/2004 0:00,Shipped,Classic Cars,Motor Mint Distributors Inc.,USA,Small
647,22,100,3160.74,11/24/2004 0:00,Shipped,Classic Cars,"Australian Collectors, Co.",Australia,Medium
648,27,64.69,1746.63,12/9/2004 0:00,Shipped,Classic Cars,Lyon Souveniers,France,Small
649,34,100,4207.84,1/10/2005 0:00,Shipped,Classic Cars,Royale Belge,Belgium,Medium
650,36,100,4352.76,2/9/2005 0:00,Shipped,Classic Cars,"Toys of Finland, Co.",Finland,Medium
651,34,43.05,1463.7,3/4/2005 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Small
652,48,100,7169.28,4/15/2005 0:00,Disputed,Classic Cars,Danish Wholesale Imports,Denmark,Large
653,34,100,4594.76,5/17/2005 0:00,Shipped,Classic Cars,Salzburg Collectables,Austria,Medium
654,24,100,3457.92,1/31/2003 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
655,46,100,7381.16,4/4/2003 0:00,Shipped,Classic Cars,Classic Legends Inc.,USA,Large
656,45,100,7146.9,6/3/2003 0:00,Shipped,Classic Cars,Muscle Machine Inc,USA,Large
657,39,100,5938.53,8/1/2003 0:00,Shipped,Classic Cars,Suominen Souveniers,Finland,Medium
658,43,100,7110.91,9/21/2003 0:00,Shipped,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,Large
659,29,100,5032.95,10/22/2003 0:00,Shipped,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Medium
660,20,100,3667.6,11/6/2003 0:00,Shipped,Classic Cars,L'ordine Souveniers,Italy,Medium
661,46,100,7381.16,11/14/2003 0:00,Shipped,Classic Cars,"Iberia Gift Imports, Corp.",Spain,Large
662,27,100,5128.11,11/25/2003 0:00,Shipped,Classic Cars,Mini Classics,USA,Medium
663,44,100,7060.24,12/9/2003 0:00,Shipped,Classic Cars,Diecast Collectables,USA,Large
664,43,100,8448.64,2/10/2004 0:00,Shipped,Classic Cars,Signal Collectibles Ltd.,USA,Large
665,49,100,7300.51,3/15/2004 0:00,Shipped,Classic Cars,"Blauer See Auto, Co.",Germany,Large
666,40,100,6549.2,5/5/2004 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
667,30,100,5697.9,6/15/2004 0:00,Shipped,Classic Cars,Handji Gifts& Co,Singapore,Medium
668,50,100,9169,7/20/2004 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Large
669,23,100,3238.63,8/20/2004 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Medium
670,26,100,4554.94,9/8/2004 0:00,Shipped,Classic Cars,Land of Toys Inc.,USA,Medium
671,27,100,3934.44,10/13/2004 0:00,Shipped,Classic Cars,Marta's Replicas Co.,USA,Medium
672,42,100,5776.26,10/22/2004 0:00,Shipped,Classic Cars,Heintze Collectables,Denmark,Medium
673,47,100,7207.45,11/5/2004 0:00,Shipped,Classic Cars,Vitachrome Inc.,USA,Large
674,49,100,7460.74,11/20/2004 0:00,Shipped,Classic Cars,"La Corne D'abondance, Co.",France,Large
675,38,100,6719.54,12/1/2004 0:00,Shipped,Classic Cars,Muscle Machine Inc,USA,Medium
676,20,100,2428,12/10/2004 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Small
677,25,100,2602.25,1/23/2005 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Small
678,25,88,2200,2/17/2005 0:00,Shipped,Classic Cars,Mini Gifts Distributors Ltd.,USA,Small
679,41,100,6712.93,5/3/2005 0:00,Shipped,Classic Cars,Euro Shopping Channel,Spain,Medium
680,28,100,5318.04,5/31/2005 0:00,In Process,Classic Cars,La Rochelle Gifts,France,Medium
681,50,67.8,3390,1/6/2003 0:00,Shipped,Vintage Cars,Online Diecast Creations Co.,USA,Medium
682,32,50.25,1608,3/18/2003 0:00,Shipped,Vintage Cars,"AV Stores, Co.",UK,Small
683,42,53.88,2262.96,5/21/2003 0:00,Shipped,Vintage Cars,Signal Gift Stores,USA,Small
684,24,62.36,1496.64,9/12/2003 0:00,Shipped,Vintage Cars,Signal Collectibles Ltd.,USA,Small
685,27,69.62,1879.74,10/18/2003 0:00,Shipped,Vintage Cars,Corporate Gift Ideas Co.,USA,Small
686,26,57.51,1495.26,11/5/2003 0:00,Shipped,Vintage Cars,Rovelli Gifts,Italy,Small
687,38,61.15,2323.7,11/12/2003 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Small
688,42,59.33,2491.86,11/21/2003 0:00,Shipped,Vintage Cars,"Australian Collectables, Ltd",Australia,Small
689,23,71.44,1643.12,12/2/2003 0:00,Shipped,Vintage Cars,Muscle Machine Inc,USA,Small
690,21,62.96,1322.16,1/26/2004 0:00,Shipped,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,Small
691,28,50.85,1423.8,3/2/2004 0:00,Shipped,Vintage Cars,"Saveley & Henriot, Co.",France,Small
692,33,72.65,2397.45,4/13/2004 0:00,Shipped,Vintage Cars,Mini Caravy,France,Small
693,25,62.96,1574,8/17/2004 0:00,Shipped,Vintage Cars,Amica Models & Co.,Italy,Small
694,28,61.75,1729,9/1/2004 0:00,Shipped,Vintage Cars,Handji Gifts& Co,Singapore,Small
695,46,49.04,2255.84,10/6/2004 0:00,Shipped,Vintage Cars,"Iberia Gift Imports, Corp.",Spain,Small
696,30,61.15,1834.5,10/21/2004 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Small
697,38,84.25,3201.5,11/17/2004 0:00,Shipped,Vintage Cars,"AV Stores, Co.",UK,Medium
698,40,56.91,2276.4,11/25/2004 0:00,Shipped,Vintage Cars,Marseille Mini Autos,France,Small
699,45,100,8884.8,1/12/2005 0:00,Resolved,Vintage Cars,Toys4GrownUps.com,USA,Large
700,27,49.3,1331.1,2/10/2005 0:00,Shipped,Vintage Cars,Euro Shopping Channel,Spain,Small
701,42,72.65,3051.3,4/22/2005 0:00,On Hold,Vintage Cars,The Sharp Gifts Warehouse,USA,Medium
702,36,63.57,2288.52,5/29/2005 0:00,In Process,Vintage Cars,Souveniers And Things Co.,Australia,Small
703,29,100,3772.61,1/31/2003 0:00,Shipped,Trucks and Buses,Euro Shopping Channel,Spain,Medium
704,39,100,4164.42,4/1/2003 0:00,Shipped,Trucks and Buses,"La Corne D'abondance, Co.",France,Medium
705,45,100,6295.95,6/3/2003 0:00,Shipped,Trucks and Buses,Muscle Machine Inc,USA,Medium
706,47,100,6287.66,8/1/2003 0:00,Shipped,Trucks and Buses,Suominen Souveniers,Finland,Medium
707,49,100,5412.54,9/21/2003 0:00,Shipped,Trucks and Buses,"Oulu Toy Supplies, Inc.",Finland,Medium
708,46,100,5984.14,10/22/2003 0:00,Shipped,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Medium
709,48,100,5891.04,11/6/2003 0:00,Shipped,Trucks and Buses,"Stylish Desk Decors, Co.",UK,Medium
710,46,100,5984.14,11/14/2003 0:00,Shipped,Trucks and Buses,"Iberia Gift Imports, Corp.",Spain,Medium
711,35,100,3608.15,11/25/2003 0:00,Shipped,Trucks and Buses,Mini Classics,USA,Medium
712,43,100,5752.54,12/9/2003 0:00,Shipped,Trucks and Buses,Diecast Collectables,USA,Medium
713,26,100,3765.32,3/11/2004 0:00,Shipped,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,Medium
714,22,98.18,2159.96,5/5/2004 0:00,Shipped,Trucks and Buses,Euro Shopping Channel,Spain,Small
715,34,99.41,3379.94,6/15/2004 0:00,Shipped,Trucks and Buses,Handji Gifts& Co,Singapore,Medium
716,50,100,5093.5,7/20/2004 0:00,Shipped,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,Medium
717,48,100,5773.44,8/19/2004 0:00,Shipped,Trucks and Buses,Diecast Classics Inc.,USA,Medium
718,41,100,4528.86,9/8/2004 0:00,Shipped,Trucks and Buses,Land of Toys Inc.,USA,Medium
719,36,100,4816.08,10/13/2004 0:00,Shipped,Trucks and Buses,Marta's Replicas Co.,USA,Medium
720,29,100,3416.78,10/22/2004 0:00,Shipped,Trucks and Buses,Canadian Gift Exchange Network,Canada,Medium
721,33,37.48,1236.84,11/5/2004 0:00,Shipped,Trucks and Buses,Vitachrome Inc.,USA,Small
722,46,100,5814.86,11/19/2004 0:00,On Hold,Trucks and Buses,"Volvo Model Replicas, Co",Sweden,Medium
723,38,100,5223.48,12/1/2004 0:00,Shipped,Trucks and Buses,Muscle Machine Inc,USA,Medium
724,20,36.42,728.4,12/10/2004 0:00,Shipped,Trucks and Buses,Euro Shopping Channel,Spain,Small
725,22,100,3949,1/20/2005 0:00,Shipped,Trucks and Buses,"Anna's Decorations, Ltd",Australia,Medium
726,27,100,3843.99,2/22/2005 0:00,Shipped,Trucks and Buses,Euro Shopping Channel,Spain,Medium
727,56,98.18,5498.08,5/3/2005 0:00,Shipped,Trucks and Buses,Euro Shopping Channel,Spain,Medium
728,38,99.41,3777.58,5/31/2005 0:00,In Process,Trucks and Buses,La Rochelle Gifts,France,Medium
729,25,100,3782,1/9/2003 0:00,Shipped,Vintage Cars,"Blauer See Auto, Co.",Germany,Medium
730,33,100,3859.68,3/18/2003 0:00,Shipped,Vintage Cars,"AV Stores, Co.",UK,Medium
731,42,100,4431.84,5/21/2003 0:00,Shipped,Vintage Cars,Signal Gift Stores,USA,Medium
732,33,100,4950.33,9/12/2003 0:00,Shipped,Vintage Cars,Signal Collectibles Ltd.,USA,Medium
733,38,100,4299.7,10/18/2003 0:00,Shipped,Vintage Cars,Corporate Gift Ideas Co.,USA,Medium
734,31,100,4492.83,11/5/2003 0:00,Shipped,Vintage Cars,Rovelli Gifts,Italy,Medium
735,20,100,2212,11/12/2003 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Small
736,44,100,4642.88,11/21/2003 0:00,Shipped,Vintage Cars,"Australian Collectables, Ltd",Australia,Medium
737,26,100,3206.32,12/2/2003 0:00,Shipped,Vintage Cars,Muscle Machine Inc,USA,Medium
738,27,100,3604.23,1/26/2004 0:00,Shipped,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,Medium
739,46,100,7017.76,3/2/2004 0:00,Shipped,Vintage Cars,"Saveley & Henriot, Co.",France,Large
740,47,100,6154.18,4/26/2004 0:00,Shipped,Vintage Cars,Diecast Collectables,USA,Medium
741,37,100,4750.8,8/17/2004 0:00,Shipped,Vintage Cars,Amica Models & Co.,Italy,Medium
742,31,100,3822.92,9/1/2004 0:00,Shipped,Vintage Cars,Handji Gifts& Co,Singapore,Medium
743,24,100,2440.8,10/11/2004 0:00,Shipped,Vintage Cars,Auto Assoc. & Cie.,France,Small
744,31,100,4729.36,10/21/2004 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Medium
745,50,100,12536.5,11/4/2004 0:00,Shipped,Vintage Cars,Online Diecast Creations Co.,USA,Large
746,35,64.69,2264.15,11/17/2004 0:00,Shipped,Vintage Cars,"AV Stores, Co.",UK,Small
747,30,100,3928.2,11/25/2004 0:00,Shipped,Vintage Cars,Marseille Mini Autos,France,Medium
748,29,100,3630.22,12/9/2004 0:00,Shipped,Vintage Cars,Lyon Souveniers,France,Medium
749,27,100,4196.07,1/12/2005 0:00,Resolved,Vintage Cars,Toys4GrownUps.com,USA,Medium
750,40,100,4931.6,2/16/2005 0:00,Shipped,Vintage Cars,Euro Shopping Channel,Spain,Medium
751,31,98.99,3068.69,3/4/2005 0:00,Shipped,Vintage Cars,Mini Gifts Distributors Ltd.,USA,Medium
752,6,100,785.64,4/23/2005 0:00,Shipped,Vintage Cars,Handji Gifts& Co,Singapore,Small
753,45,100,4977,5/29/2005 0:00,In Process,Vintage Cars,Souveniers And Things Co.,Australia,Medium
754,22,54.09,1189.98,1/29/2003 0:00,Shipped,Trucks and Buses,Baane Mini Imports,Norway,Small
755,45,68.67,3090.15,4/1/2003 0:00,Shipped,Trucks and Buses,"La Corne D'abondance, Co.",France,Medium
756,43,65.02,2795.86,5/28/2003 0:00,Shipped,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain,Small
757,46,61.99,2851.54,7/24/2003 0:00,Shipped,Trucks and Buses,Technics Stores Inc.,USA,Small
758,39,69.28,2701.92,9/21/2003 0:00,Shipped,Trucks and Buses,"Oulu Toy Supplies, Inc.",Finland,Small
759,31,71.1,2204.1,10/22/2003 0:00,Shipped,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Small
